"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YLR108C",72.0887511436694,1.3312558670784,0.17695278988299,5.76179671859616e-15,4.37297922382805e-13
"YPR124W",285.405598440347,-1.08532744224377,0.144627981109698,7.46855172680722e-15,5.59566875531556e-13
"YDR281C",12.5964922989812,-3.71160335254869,0.494026836998666,9.2882975058272e-15,6.87098868658913e-13
"YLR258W",515.289087961672,-1.81190085670417,0.246496014697987,1.29141765005681e-14,9.31733919374319e-13
"YNL064C",540.509260257643,-1.00038112105287,0.134363514183693,1.28411296717984e-14,9.31733919374319e-13
"YBR296C",89.2092901549481,-2.85928489544108,0.391134099020652,1.3459498984742e-14,9.59235513010153e-13
"YGR177C",30.0492669908874,-1.62219221465399,0.220013479249764,1.61006933793086e-14,1.13364400130939e-12
"YLR300W",732.369302826232,-1.40096391263763,0.191248548402608,1.96653909253626e-14,1.36814934009308e-12
"YDL039C",247.620761856281,-2.53661294871711,0.350607305885445,2.76116505820604e-14,1.89838218825366e-12
"YOL158C",259.756357068804,-1.60849226175554,0.222379334761386,3.29915381062326e-14,2.24189010107934e-12
"YHR128W",120.924177967907,-1.18689734007904,0.162692349367849,3.34084751292539e-14,2.24412791557885e-12
"YBR069C",235.781882953948,-1.37458116226256,0.189403865204746,3.40406912372953e-14,2.26061135898584e-12
"YPL093W",161.707519486773,-1.84002092123952,0.255156325923936,3.6082090714204e-14,2.36925548464953e-12
"YLR151C",58.5248241590016,1.39354026775115,0.192476155988033,3.94523695317333e-14,2.56177386159388e-12
"YDL182W",260.775438506802,-1.28735931280661,0.179231175659057,5.97750349665103e-14,3.83873960817897e-12
"YLR250W",195.00281681706,0.791547805879299,0.109509409642929,9.3957102898803e-14,5.96831857978919e-12
"YOR348C",42.7237751080735,1.99137212368691,0.283668316038016,1.47454541019769e-13,9.26585309375838e-12
"YJR045C",1173.71963722408,-0.597139566160549,0.0826458379692342,1.50036728541357e-13,9.32781533612434e-12
"YNR053C",58.8726128319009,-2.00073697587993,0.284665360916873,1.5913287313311e-13,9.78918432199887e-12
"YOL110W",129.01973389956,1.54471193733705,0.220318266032047,1.65491508210419e-13,1.00742955623093e-11
"YOL109W",433.136221742352,-2.59106079942503,0.373199772423329,1.97474055438624e-13,1.1897302886426e-11
"YEL065W",118.84251633685,-1.64525329436665,0.236779321349605,2.68030480836353e-13,1.59833686735474e-11
"YCR018C",31.0948500954515,-1.68690205823929,0.242694728817319,3.03528938703689e-13,1.7917405230145e-11
"YNR067C",139.295811802744,-1.19096594839997,0.170555309653969,3.11521679906026e-13,1.82053269737082e-11
"YLR312C",33.7906592407366,1.61470051617663,0.232892546199472,3.39514984787155e-13,1.96448076346152e-11
"YPR010C",328.891903104239,-1.13891916604108,0.16378050450694,3.81036913025975e-13,2.18311737227823e-11
"YGL162W",83.0012541976871,-1.20524467271612,0.174413727611259,5.18269144622527e-13,2.91793934584694e-11
"YNL112W",645.688978913572,-1.44767351433196,0.210780622659246,5.19277364764e-13,2.91793934584694e-11
